,Customer Code,Month 1 Sales Amount,Month 2 Sales Amount,Month 3 Sales Amount,Gender,Shop Name,Month 1 Customer Status,Month 2 Customer Status,Month 3 Customer Status,Total Sales Amount
126,AP01901561,2199.0,3248.0,760.0,Female,PICARD Bangladesh Limited,yes,yes,yes,6207.0
127,AP01900269,2078.0,2268.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,4346.0
128,AP01900906,2346.0,686.0,2054.0,Female,PICARD Bangladesh Limited,yes,yes,yes,5086.0
129,AP01901283,2005.0,3485.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,5490.0
130,AP01900907,1390.0,470.0,167.0,Male,PICARD Bangladesh Limited,yes,yes,yes,2027.0
131,AP01900126,2178.0,4714.0,2336.0,Male,PICARD Bangladesh Limited,yes,yes,yes,9228.0
132,AP01901285,1390.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,1390.0
133,AP01900367,2780.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,2780.0
134,AP01900413,180.0,380.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,560.0
135,AP01901052,1150.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1150.0
136,AP01900370,147.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,147.0
137,AP01901055,1774.0,1304.0,704.0,Male,PICARD Bangladesh Limited,yes,yes,yes,3782.0
138,AP01900275,3817.0,1945.0,2059.0,Male,PICARD Bangladesh Limited,yes,yes,yes,7821.0
139,AP01900276,1490.0,3001.0,1548.0,Male,PICARD Bangladesh Limited,yes,yes,yes,6039.0
140,AP01901568,4110.0,6377.0,2100.0,Male,PICARD,yes,yes,yes,12587.0
141,AP01900277,1390.0,2277.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,3667.0
142,AP01901569,2557.0,2206.0,2730.0,Female,Picard Bangladesh Limited,yes,yes,yes,7493.0
143,AP01901291,2780.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,2780.0
144,AP01901570,2079.0,0.0,464.0,Female,PICARD Bangladesh Limited,yes,no,yes,2543.0
145,AP01900421,2519.0,2326.0,1634.0,Female,PICARD Bangladesh Limited,yes,yes,yes,6479.0
146,AP01901059,1390.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,1390.0
147,AP01900378,2780.0,2780.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,5560.0
148,AP01901575,2780.0,2780.0,1896.0,Female,PICARD Bangladesh Limited,yes,yes,yes,7456.0
149,AP01901296,2780.0,2779.0,367.0,Female,PICARD Bangladesh Limited,yes,yes,yes,5926.0
150,AP01900921,656.0,2042.0,2791.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5489.0
151,AP01900283,67.0,1478.0,529.0,Female,PICARD Bangladesh Limited,yes,yes,yes,2074.0
152,AP01900380,2856.0,2780.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,5636.0
153,AP01900923,1613.0,1542.0,1561.0,Female,PICARD Bangladesh Limited,yes,yes,yes,4716.0
154,AP01900924,605.0,482.0,851.0,Female,Picard Bangladesh Limited,yes,yes,yes,1938.0
155,AP01901065,182.0,0.0,540.0,Female,PICARD Bangladesh Limited,yes,no,yes,722.0
156,AP01900643,1770.0,1390.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,3160.0
157,AP01900926,2780.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,2780.0
158,AP01900287,1390.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1390.0
159,AP01901580,2450.0,1824.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,4274.0
160,AP01900528,1048.0,2016.0,2381.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5445.0
161,AP01900928,1800.0,1320.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,3120.0
162,AP01900291,456.0,775.0,120.0,Female,PICARD Bangladesh Limited,yes,yes,yes,1351.0
163,AP01900529,1390.0,1390.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,2780.0
164,AP01900930,189.0,1464.0,1017.0,Female,PICARD Bangladesh Limited,yes,yes,yes,2670.0
165,AP01900293,1590.0,2701.0,1034.0,Female,PICARD Bangladesh Limited,yes,yes,yes,5325.0
166,AP01900649,54.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,54.0
167,AP01900436,604.0,707.0,496.0,Male,PICARD Bangladesh Limited,yes,yes,yes,1807.0
168,AP01900933,522.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,522.0
169,AP01901589,19121.0,1970.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,21091.0
170,AP01901315,563.0,2393.0,463.0,Female,Picard Bangladesh Limited,yes,yes,yes,3419.0
171,AP01900448,4100.0,2734.0,706.0,Female,PICARD Bangladesh Limited,yes,yes,yes,7540.0
172,AP01901086,1016.0,0.0,1123.0,Female,Picard Bangladesh Limited,yes,no,yes,2139.0
173,AP01900663,2785.0,1465.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,4250.0
174,AP01900948,500.0,39.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,539.0
175,AP01901605,1113.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1113.0
176,AP01901093,1512.0,2128.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,3640.0
177,AP01901324,1598.0,0.0,1886.0,Male,Picard Bangladesh Limited,yes,no,yes,3484.0
178,AP01900951,305.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,305.0
179,AP01901607,1620.0,1977.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,3597.0
180,AP01900669,2930.0,4030.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,6960.0
181,AP01900553,1400.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,1400.0
182,AP01900954,2780.0,2780.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,5560.0
183,AP01900315,2315.0,0.0,2955.0,Male,Picard Bangladesh Limited,yes,no,yes,5270.0
184,AP01901329,2780.0,2870.0,2780.0,Male,PICARD Bangladesh Limited,yes,yes,yes,8430.0
185,AP01900318,1390.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1390.0
186,AP01900560,1390.0,1891.0,2562.0,Female,PICARD Bangladesh Limited,yes,yes,yes,5843.0
187,AP01901100,3930.0,937.0,1525.0,Male,PICARD Bangladesh Limited,yes,yes,yes,6392.0
188,AP01901101,1390.0,2892.0,1480.0,Female,PICARD Bangladesh Limited,yes,yes,yes,5762.0
189,AP01901332,2780.0,2780.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,5560.0
190,AP01900961,1448.0,112.0,0.0,Male,PICARD Bangladesh Limited,yes,yes,no,1560.0
191,AP01901615,2127.0,1319.0,2307.0,Female,Picard Bangladesh Limited,yes,yes,yes,5753.0
192,AP01900963,2780.0,2780.0,832.0,Male,PICARD Bangladesh Limited,yes,yes,yes,6392.0
193,AP01901105,2490.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,2490.0
194,AP01900679,2897.0,2658.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,5555.0
195,AP01900324,1460.0,2257.0,3445.0,Female,Picard Bangladesh Limited,yes,yes,yes,7162.0
196,AP01901339,3369.0,2213.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,5582.0
197,AP01901108,3007.0,2780.0,2583.0,Female,Picard Bangladesh Limited,yes,yes,yes,8370.0
198,AP01901110,2803.0,2336.0,2612.0,Female,PICARD Bangladesh Limited,yes,yes,yes,7751.0
199,AP01901341,1390.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1390.0
200,AP01900329,462.0,257.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,719.0
201,AP01900472,4170.0,0.0,2780.0,Male,Picard Bangladesh Limited,yes,no,yes,6950.0
202,AP01900971,2780.0,322.0,260.0,Male,Picard Bangladesh Limited,yes,yes,yes,3362.0
203,AP01900972,3004.0,3504.0,839.0,Female,PICARD Bangladesh Limited,yes,yes,yes,7347.0
204,AP01901343,925.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,925.0
205,AP01901112,1390.0,1390.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,2780.0
206,AP01901625,2800.0,2860.0,2735.0,Female,Picard Bangladesh Limited,yes,yes,yes,8395.0
207,AP01900687,2002.0,2780.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,4782.0
208,AP01900688,987.0,52.0,100.0,Female,PICARD Bangladesh Limited,yes,yes,yes,1139.0
209,AP01900689,2108.0,760.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,2868.0
210,AP01900332,1390.0,1581.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,2971.0
211,AP01901417,58.0,98.0,2056.0,Male,PICARD Bangladesh Limited,yes,yes,yes,2212.0
212,AP01900333,1556.0,75.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,1631.0
213,AP01900475,191.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,191.0
214,AP01901628,1796.0,1390.0,1308.0,Male,PICARD Bangladesh Limited,yes,yes,yes,4494.0
215,AP01900479,2001.0,2467.0,116.0,Male,PICARD Bangladesh Limited,yes,yes,yes,4584.0
216,AP01900742,1430.0,1540.0,1420.0,Male,PICARD Bangladesh Limited,yes,yes,yes,4390.0
217,AP01901139,1372.0,1663.0,378.0,Female,PICARD Bangladesh Limited,yes,yes,yes,3413.0
218,AP01900483,314.0,261.0,652.0,Male,PICARD Bangladesh Limited,yes,yes,yes,1227.0
219,AP01901352,606.0,424.0,355.0,Male,PICARD Bangladesh Limited,yes,yes,yes,1385.0
220,AP01901637,1317.0,2315.0,24.0,Female,Picard Bangladesh Limited,yes,yes,yes,3656.0
221,AP01900703,1390.0,2212.0,2258.0,Female,Picard Bangladesh Limited,yes,yes,yes,5860.0
222,AP01901639,784.0,239.0,696.0,Male,Picard Bangladesh Limited,yes,yes,yes,1719.0
223,AP01901149,590.0,3798.0,700.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5088.0
224,AP01900989,7.0,1320.0,93.0,Female,PICARD Bangladesh Limited,yes,yes,yes,1420.0
225,AP01900754,1471.0,1086.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,2557.0
226,AP01901433,1858.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,1858.0
227,AP01900709,360.0,2460.0,1719.0,Male,PICARD Bangladesh Limited,yes,yes,yes,4539.0
228,AP01900498,3224.0,2599.0,2551.0,Male,PICARD Bangladesh Limited,yes,yes,yes,8374.0
229,AP01900712,722.0,2205.0,1044.0,Male,PICARD Bangladesh Limited,yes,yes,yes,3971.0
230,AP01900997,3234.0,0.0,0.0,Female,Picard Bangladesh Limited,yes,no,no,3234.0
231,AP01901649,1480.0,1467.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,2947.0
232,AP01900502,1741.0,2708.0,770.0,Male,Picard Bangladesh Limited,yes,yes,yes,5219.0
233,AP01900998,2780.0,2780.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,5560.0
234,AP01900503,1718.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,1718.0
235,AP01901163,440.0,0.0,573.0,Male,Picard Bangladesh Limited,yes,no,yes,1013.0
236,AP01901003,225.0,0.0,227.0,Female,Picard Bangladesh Limited,yes,no,yes,452.0
237,AP01901166,2187.0,2439.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,4626.0
238,AP01900508,1390.0,2742.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,4132.0
239,AP01901376,2001.0,2634.0,2032.0,Male,PICARD Bangladesh Limited,yes,yes,yes,6667.0
240,AP01901008,2100.0,5985.0,5791.0,Male,PICARD Bangladesh Limited,yes,yes,yes,13876.0
241,AP01900511,2148.0,3721.0,594.0,Female,PICARD Bangladesh Limited,yes,yes,yes,6463.0
242,AP01901380,3732.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,3732.0
243,AP01901009,1390.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,1390.0
244,AP01900513,3122.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,3122.0
245,AP01900514,2516.0,2423.0,0.0,Female,PICARD Bangladesh Limited,yes,yes,no,4939.0
246,AP01901664,1676.0,2613.0,1347.0,Male,PICARD Bangladesh Limited,yes,yes,yes,5636.0
247,AP01901665,1684.0,1749.0,4208.0,Female,Picard Bangladesh Limited,yes,yes,yes,7641.0
248,AP01900730,204.0,851.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,1055.0
249,AP01900777,3207.0,2895.0,3860.0,Female,PICARD Bangladesh Limited,yes,yes,yes,9962.0
250,AP01901175,2780.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,2780.0
251,AP01900517,925.0,0.0,0.0,Female,PICARD Bangladesh Limited,yes,no,no,925.0
252,AP01900731,2016.0,1666.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,3682.0
253,AP01901457,1001.0,6102.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,7103.0
254,AP01901016,1390.0,0.0,150.0,Male,PICARD Bangladesh Limited,yes,no,yes,1540.0
255,AP01901386,112.0,55.0,285.0,Male,PICARD Bangladesh Limited,yes,yes,yes,452.0
256,AP01901387,2009.0,4030.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,6039.0
257,AP01901669,2780.0,2870.0,2611.0,Male,PICARD Bangladesh Limited,yes,yes,yes,8261.0
258,AP01901177,632.0,0.0,0.0,Male,PICARD Bangladesh Limited,yes,no,no,632.0
259,AP01900733,1408.0,1390.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,2798.0
260,AP01900780,673.0,985.0,900.0,Male,PICARD Bangladesh Limited,yes,yes,yes,2558.0
261,AP01901018,1882.0,1495.0,0.0,Male,Picard Bangladesh Limited,yes,yes,no,3377.0
262,AP01900521,2780.0,2640.0,2396.0,Male,PICARD Bangladesh Limited,yes,yes,yes,7816.0
263,AP01900737,312.0,658.0,1070.0,Male,PICARD Bangladesh Limited,yes,yes,yes,2040.0
264,AP01900522,314.0,1442.0,0.0,Female,Picard Bangladesh Limited,yes,yes,no,1756.0
265,AP01900738,4936.0,3393.0,1657.0,Male,PICARD Bangladesh Limited,yes,yes,yes,9986.0
266,AP01901674,1435.0,1185.0,635.0,Female,Picard Bangladesh Limited,yes,yes,yes,3255.0
267,AP01901183,1564.0,0.0,0.0,Male,Picard Bangladesh Limited,yes,no,no,1564.0
268,AP01901117,3307.0,4346.0,1255.0,Female,PICARD Bangladesh Limited,yes,yes,yes,8908.0
